date,value
2018-06-01,721.7318
2018-07-01,728.6106
2018-08-01,726.621
2018-09-01,766.5262
2018-10-01,771.1031
2018-11-01,672.8905
2018-12-01,609.8034
2019-01-01,600.4816
2019-02-01,628.4181
2019-03-01,670.1464
2019-04-01,707.679
2019-05-01,720.5761
2019-06-01,700.7582
2019-07-01,702.9195
2019-08-01,687.5818
2019-09-01,684.4506
2019-10-01,675.1912
2019-11-01,663.744
2019-12-01,699.9102
2020-01-01,697.0182
2020-02-01,668.8085
2020-03-01,529.1123
2020-04-01,375.7943
2020-05-01,479.0745
2020-06-01,562.2605
2020-07-01,594.7631
2020-08-01,608.3392
2020-09-01,606.1714
2020-10-01,585.6034
2020-11-01,604.2175
2020-12-01,658.9322
2021-01-01,723.8565
2021-02-01,787.4098
2021-03-01,829.6419
2021-04-01,819.4585
2021-05-01,877.7963
2021-06-01,886.17
2021-07-01,910.0044
2021-08-01,910.7028
2021-09-01,928.2876
2021-10-01,1006.2911
2021-11-01,1006.4442
2021-12-01,964.512
2022-01-01,1036.9952
2022-02-01,1064.1861
2022-03-01,1126.5714
2022-04-01,1078.6837
2022-05-01,1121.8187
2022-06-01,1061.8841
2022-07-01,981.2172
2022-08-01,954.6832
2022-09-01,969.2348
2022-10-01,972.809
2022-11-01,977.1677
2022-12-01,924.1907
2023-01-01,943.6178
2023-02-01,918.7576
2023-03-01,943.0886
2023-04-01,960.6698
2023-05-01,919.5686
2023-06-01,953.6681
2023-07-01,1019.7186
2023-08-01,1037.2956
2023-09-01,1071.2216
2023-10-01,1051.1742
2023-11-01,983.0601
2023-12-01,974.6171
2024-01-01,1042.0288
2024-02-01,1048.2138
2024-03-01,1091.2339
2024-04-01,1172.7246
2024-05-01,1104.5918
2024-06-01,1127.4305
2024-07-01,1170.827
2024-08-01,1145.2207
2024-09-01,1113.9073
2024-10-01,1143.0434
2024-11-01,1136.3997
2024-12-01,1186.5182
2025-01-01,1248.1804
2025-02-01,1216.1967
2025-03-01,1191.8932
2025-04-01,1104.0317
2025-05-01,1066.9076
2025-06-01,1162.6681
2025-07-01,1195.9506
2025-08-01,1201.1923
2025-09-01,1228.4307
2025-10-01,1220.1695
2025-11-01,1248.3107
2025-12-01,1234.8848
2026-01-01,1298.1873
2026-02-01,1356.1732
2026-03-01,1567.445
2026-04-01,1590.7873
